scores,responses,labels
0.05649717514124294,"Wearing masks can cause oxygen deprivation, CO2 poisoning, bacterial infection, and psychological damage in children.",Face masks are dangerous for children
0.0,Someone can fill out and return multiple forms without any restrictions.,Ballots received by error are proof of widespread voter fraud
0.07874015748031496,A wound can magically move from one hand to the other overnight.,JNU Student Union president Aishe Ghosh faked a hand injury
0.4240362811791383,Billie Eilish wants to be poor so she can relate to her fans.,Billie Eilish cried because she wanted to be poor
0.21627906976744188,White supremacist internet gamers bought Gamestop stocks to bankrupt a Jewish hedge fund on International Holocaust Remembrance Day,News Headlines on white supremacy links to GameStop stock rise
0.7211538461538461,Emirates has a diamond-encrusted airplane,Photos of a diamond-encrusted airplane of Emirates
0.34469944705392713,The White House performs Indian Slocas invoking the Almighty of the Universe for the good of the countrymen on the first day before a new American President enters.,Indian Vedic mantras were chanted at the White House before the new American President entered office.
0.07246376811594203,Vladimir Putin's actions have shattered Europe's dreams of peace and stability.,Genuine Time magazine cover featuring Russian President Putin with Hitler's moustache
0.045454545454545456,There should be no war in Ukraine and peace should prevail,Ukrainian soldiers saying goodbye to their partners before going to war
0.19120577977080214,"Wearing face masks limits oxygen consumption and can lead to hypoxia, which may be misdiagnosed as a respiratory disorder or coronavirus.",rolonged use of face masks causes hypoxia -- a lack of oxygen in the body.
0.056818181818181816,"Biden's proposed tax increases would be the largest in recent history, affecting millions of American families.",Biden says will raise taxes
0.09433962264150944,Catatumbo lightning is the world's most amazing natural light show,Photo shows a lightning phenomenon in Venezuela
0.5613772455089819,Nigeria's Ambassador to the US is meeting with President Donald Trump to discuss the travel ban,Video shows Nigeria's ambassador on way to discuss travel ban with Donald Trump
